,x0_Blmngtn,x0_Blueste,x0_BrDale,x0_BrkSide,x0_ClearCr,x0_CollgCr,x0_Crawfor,x0_Edwards,x0_Gilbert,x0_IDOTRR,x0_MeadowV,x0_Mitchel,x0_NAmes,x0_NPkVill,x0_NWAmes,x0_NoRidge,x0_NridgHt,x0_OldTown,x0_SWISU,x0_Sawyer,x0_SawyerW,x0_Somerst,x0_StoneBr,x0_Timber,x0_Veenker,x1_Fin,x1_None,x1_RFn,x1_Unf,ExterQual,BsmtQual,KitchenQual,FireplaceQu,OverallQual,GrLivArea,GarageCars,GarageArea,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,WoodDeckSF,OpenPorchSF,TotalArea
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.6666666666666665,0.2592313489073097,0.5,0.38645980253878703,0.6666666666666666,0.5,0.9492753623188417,0.8833333333333329,0.14009819967266776,0.11977971546581001,0.4135593220338983,0.0,0.11151736745886655,0.19230124119423012
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,3.0,0.5555555555555556,0.17483044461190655,0.5,0.3244005641748942,0.6666666666666666,0.33333333333333337,0.7536231884057969,0.43333333333333,0.2065466448445172,0.21294171638366224,0.0,0.34772462077012833,0.0,0.20865481382086548
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,3.0,0.6666666666666665,0.27354935945742276,0.5,0.4287729196050776,0.6666666666666666,0.33333333333333337,0.9347826086956523,0.8666666666666671,0.15057283142389527,0.13446535107847638,0.41937046004842615,0.0,0.07678244972577697,0.20244884267024488
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,0.6666666666666665,0.2605501130369254,0.75,0.4527503526093089,0.3333333333333333,0.41666666666666663,0.3115942028985508,0.3333333333333357,0.12373158756137481,0.14387333639284075,0.36610169491525424,0.0,0.06398537477148081,0.18232136866823215
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,3.0,0.7777777777777777,0.35116804822908815,0.75,0.5895627644569816,0.6666666666666666,0.5833333333333334,0.9275362318840585,0.8333333333333357,0.18739770867430444,0.18609453877925655,0.5099273607748184,0.22403733955659275,0.15356489945155394,0.2754948004025495
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.4444444444444445,0.19366993217784478,0.5,0.3385049365303244,0.3333333333333333,0.24999999999999997,0.8768115942028984,0.75,0.13027823240589198,0.10601193207893528,0.27409200968523,0.04667444574095682,0.054844606946983544,0.15883931566588394
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,4.0,0.7777777777777777,0.2562170308967596,0.5,0.4485190409026798,0.6666666666666666,0.41666666666666663,0.9565217391304355,0.9166666666666643,0.27594108019639935,0.31206975676916016,0.0,0.2975495915985997,0.10420475319926874,0.28161690707816167
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,3.0,0.6666666666666665,0.3308214016578749,0.5,0.3413258110014104,0.6666666666666666,0.41666666666666663,0.7318840579710155,0.38333333333333286,0.1811783960720131,0.1773749426342359,0.47602905569007264,0.2742123687281213,0.37294332723948814,0.27692049647769207
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.6666666666666665,0.2712886209495102,0.5,0.3300423131170663,0.6666666666666666,0.5,0.42753623188405854,0.0,0.155810147299509,0.15787058283616337,0.3641646489104116,0.10501750291715285,0.0,0.20815162697081516
9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,0.4444444444444445,0.13997739261492087,0.25,0.14456981664315938,0.3333333333333333,0.24999999999999997,0.4855072463768124,0.0,0.16219312602291328,0.17049105094079853,0.0,0.0,0.007312614259597806,0.14575645756457564
